# TimeStamp   : 2020-07-27 18:42:19
# Strategy    : MasterCode
# Symbol      : GC
# TimeFrame   : M10
# Date Range  : 2010-01-01 --> 2019-12-31
#
#  Ntrades, AvgTicks,  WinPerc,PftFactor,   NP/MDD,Expectancy,  Z-score,BOMR_switch,Side_switch,   MyStop,POI_switch,Distance_switch,DOW_switch,Intraday_switch,Filter1L_switch,Filter1S_switch,MktRegimeL_switch,MktRegimeS_switch,DPS_switch,Exit_switch,fractN_long,fractN_short,  epsilon,
      332,    17.85,    54.52,     1.67,     7.62,     0.30,     3.51,          1,          1,          0,          6,          2,          3,          0,         39,          0,          0,          0,          0,          1,          3,          0,          0,
      367,    16.43,    54.22,     1.59,     7.33,     0.27,     3.35,          1,          1,          0,          6,          2,          3,          0,          0,          0,          0,          0,          0,          1,          3,          0,          0,
      480,    13.95,    51.88,     1.48,     6.18,     0.23,     3.08,          1,          1,          0,          6,          1,          3,          0,         21,          0,          0,          0,          0,          1,          1,          0,          0,
      394,    15.50,    52.79,     1.53,     6.87,     0.25,     3.04,          1,          1,          0,          6,          1,          3,          0,         21,          0,          0,          0,          0,          1,          2,          0,          0,
      343,    15.80,    53.94,     1.54,     4.88,     0.25,     2.99,          1,          1,          0,          6,          1,          3,          0,         39,          0,          0,          0,          0,          1,          3,          0,          0,
      504,    13.11,    50.20,     1.44,     6.16,     0.22,     2.92,          1,          1,          0,          6,          4,          3,          0,         21,          0,          0,          0,          0,          1,          2,          0,          0,
      603,    12.24,    50.58,     1.39,     7.46,     0.20,     2.91,          1,          1,          0,          6,          4,          3,          0,         39,          0,          0,          0,          0,          1,          2,          0,          0,
      562,    12.42,    50.89,     1.41,     8.02,     0.20,     2.90,          1,          1,          0,          6,          3,          3,          0,         39,          0,          0,          0,          0,          1,          0,          0,          0,
      367,    14.80,    53.68,     1.50,     4.45,     0.23,     2.88,          1,          1,          0,          6,          1,          3,          0,          0,          0,          0,          0,          0,          1,          3,          0,          0,
      335,    14.37,    53.73,     1.52,     4.73,     0.24,     2.88,          1,          1,          0,          6,          2,          3,          0,         20,          0,          0,          0,          0,          1,          3,          0,          0,
      372,    15.30,    51.61,     1.52,     4.20,     0.25,     2.87,          1,          1,          0,          6,          3,          3,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,
      299,    14.75,    54.18,     1.57,     5.04,     0.26,     2.84,          1,          1,          0,          8,          4,          3,          0,         21,          0,          0,          0,          0,          1,          0,          0,          0,
      495,    12.89,    52.32,     1.41,     6.89,     0.19,     2.76,          1,          1,          0,          6,          1,          3,          0,         39,          0,          0,          0,          0,          1,          2,          0,          0,
      332,    14.72,    54.22,     1.50,     4.02,     0.23,     2.74,          1,          1,          0,          6,          1,          3,          0,         20,          0,          0,          0,          0,          1,          3,          0,          0,
      318,    15.03,    52.20,     1.47,     6.34,     0.22,     2.54,          1,          1,          0,          1,          2,          3,          6,         21,          0,          0,          0,          0,          1,          3,          0,          0,
      327,    12.82,    54.74,     1.48,     4.40,     0.22,     2.52,          1,          1,          0,          8,          4,          3,          0,         39,          0,          0,          0,          0,          1,          0,          0,          0,
      386,    12.60,    52.33,     1.44,     7.36,     0.21,     2.50,          1,          1,          0,          2,          2,          3,          0,         21,          0,          0,          0,          0,          1,          3,          0,          0,
      323,    12.20,    52.01,     1.40,     4.20,     0.19,     2.28,          1,          1,          0,          6,          2,          0,          0,         21,          0,          0,          0,          0,          1,          3,          0,          0,
      305,    12.25,    51.48,     1.42,     5.43,     0.20,     2.27,          1,          1,          0,          6,          1,          0,          0,         21,          0,          0,          0,          0,          1,          3,          0,          0,
